"JobName","CronTime","TimeDescription","CronStatus","URL","Timetaken","LastJobStatus","LastJobDate","Server","JobStatus"
"WEALTHSERVICE_STAB_CI","00,30 * * * *","at 0 and 30 minutes","true","http://192.168.113.195:9090/job/WEALTHSERVICE_STAB_CI/8176","2754","SUCCESS","30 Nov, 2018","192.168.210.72","true"
"OAUTHCLIENT_STABILIZATION_CI","00,30 * * * *","at 0 and 30 minutes","true","http://192.168.113.195:9090/job/OAUTHCLIENT_STABILIZATION_CI/4941","2648","ABORTED","16 Oct, 2018","192.168.210.72","false"
"WEALTHSERVICE_NPR_CI","00,30 * * * *","at 0 and 30 minutes","true","http://192.168.113.195:9090/job/WEALTHSERVICE_NPR_CI/8803","2789","SUCCESS","30 Nov, 2018","192.168.210.72","true"
"YSLSDG_CI","00,41 * * * *","at 0 and 41 minutes","true","http://192.168.113.195:9090/job/YSLSDG_CI/9704","3402","SUCCESS","30 Nov, 2018","192.168.210.72","true"
"YSLSTAB_CI","00,30 * * * *","at 0 and 30 minutes","true","http://192.168.113.195:9090/job/YSLSTAB_CI/9723","3229","SUCCESS","30 Nov, 2018","192.168.210.72","true"
"YSLWELLNESS_CI","00,30 * * * *","at 0 and 30 minutes","true","http://192.168.113.195:9090/job/YSLWELLNESS_CI/9736","2817","SUCCESS","30 Nov, 2018","192.168.210.72","true"
"YSLWEALTH_CI","00,30 * * * *","at 0 and 30 minutes","true","http://192.168.113.195:9090/job/YSLWEALTH_CI/9674","3164","SUCCESS","30 Nov, 2018","192.168.210.72","true"
"YSLFINCHECK_CI","00,30 * * * *","at 0 and 30 minutes","true","http://192.168.113.195:9090/job/YSLFINCHECK_CI/9","3436","SUCCESS","11 May, 2018","192.168.210.72","false"
"OAUTHCLIENT_NPR_CI","00,30 * * * *","at 0 and 30 minutes","true","http://192.168.113.195:9090/job/OAUTHCLIENT_NPR_CI/4527","2727","SUCCESS","30 Nov, 2018","192.168.210.72","true"
"OAUTHCLIENT_PSD_CI","00,30 * * * *","at 0 and 30 minutes","true","http://192.168.113.195:9090/job/OAUTHCLIENT_PSD_CI/6274","2727","SUCCESS","30 Nov, 2018","192.168.210.72","true"
"YSLMONEYSUPPORT_CI","00,30 * * * *","at 0 and 30 minutes","true","http://192.168.113.195:9090/job/YSLMONEYSUPPORT_CI/9532","2867","SUCCESS","30 Nov, 2018","192.168.210.72","true"
"YSLNPR_CI","00,25 * * * *","at 0 and 25 minutes","true","http://192.168.113.195:9090/job/YSLNPR_CI/9538","3067","SUCCESS","30 Nov, 2018","192.168.210.72","true"
"yslnprplus_CI","00,30 * * * *","at 0 and 30 minutes","true","http://192.168.113.195:9090/job/yslnprplus_CI/10037","3068","SUCCESS","30 Nov, 2018","192.168.210.72","true"
"YSLSMB_CI","00,30 * * * *","at 0 and 30 minutes","true","http://192.168.113.195:9090/job/YSLSMB_CI/9486","543534","FAILURE","26 Nov, 2018","192.168.210.72","false"
"YSLPSD_CI","00,46 * * * *","at 0 and 46 minutes","true","http://192.168.113.195:9090/job/YSLPSD_CI/9755","3520","SUCCESS","30 Nov, 2018","192.168.210.72","true"
"OAUTHCLIENT_ARMSTRONG_CI","00,30 * * * *","at 0 and 30 minutes","true","http://192.168.113.195:9090/job/OAUTHCLIENT_ARMSTRONG_CI/2782","939","FAILURE","23 Aug, 2018","192.168.210.72","false"
"YSLNEWARCH_CI","00,25 * * * *","at 0 and 25 minutes","true","http://192.168.113.195:9090/job/YSLNEWARCH_CI/501","3097","SUCCESS","30 Nov, 2018","192.168.210.72","true"
